SubjectID,length,choice,dead,day,notes,
1,12.1,high,0,5,6.16.23,choices measured from this day til pupation
2,5.1,high,0,5,,
3,10,high,0,5,,
4,9.4,high,0,5,,
5,7.2,no,0,5,,
6,13.1,high,0,5,,
7,12.5,high,0,5,,
8,9.8,high,0,5,,
9,8.4,high,0,5,,
10,6.4,high,0,5,,
11,10.6,high,0,5,,
12,11.3,no,0,5,,
13,7.9,high,0,5,,
14,5.7,no,0,5,,
15,6.9,high,0,5,,
16,11,high,0,5,,
1,22.4,high,0,7,6.18.23,
2,12.2,high,0,7,,
3,22.2,high,0,7,,
4,16.3,high,0,7,,
5,16.1,high,0,7,,
6,20.2,high,0,7,,
7,26.8,high,0,7,,
8,17.2,high,0,7,,
9,16.2,high,0,7,,
10,14.3,high,0,7,,
11,20.4,high,0,7,,
12,18.4,no,0,7,,
13,16.8,high,0,7,,
14,10,high,0,7,,
15,15.1,high,0,7,,
16,22.3,high,0,7,,
1,26.3,no,0,9,6.20.23,
2,23.3,high,0,9,,
3,20.2,neither,0,9,,
4,23.1,high,0,9,,
5,25.5,no,0,9,,
6,21.3,no,0,9,,
7,25.7,high,0,9,,
8,21.8,high,0,9,,
9,21.4,no,0,9,,
10,23.2,high,0,9,,
11,22.5,high,0,9,,
12,27.9,high,0,9,,
13,22.1,high,0,9,,
14,14.4,no,0,9,,
15,23.2,high,0,9,,
16,26.3,high,0,9,,
1,38.8,high,0,11,6.22.23,
2,35.8,high,0,11,,
3,38.6,high,0,11,,
4,33.9,high,0,11,,
5,33.3,no,0,11,,
6,37.5,no,0,11,,
7,36.7,no,0,11,,
8,33.6,high,0,11,,
9,32,no,0,11,,
10,30.8,high,0,11,,
11,34.8,no,0,11,,
12,34.9,no,0,11,,
13,33.1,high,0,11,,
14,23,high,0,11,,
15,31.6,high,0,11,,
16,36.8,high,0,11,,
1,24.7,neither,0,13,6.24.23,
2,24.1,neither,0,13,,
3,26,high,0,13,,
4,25.4,neither,0,13,,
5,40.1,high,0,13,,
6,26.3,no,0,13,,
7,26,neither,0,13,,
8,24.5,high,0,13,,
9,36.9,no,0,13,,
10,29.1,neither,0,13,,
11,31.3,neither,0,13,,
12,,,0,13,pupating,
13,22.7,no,0,13,,
14,23,high,0,13,,
15,32.3,neither,0,13,,
16,28.1,high,0,13,,
1,22.4,neither,0,16,pupated,
2,22.1,neither,0,16,pupated,
3,21.6,neither,0,16,pupated,
4,20.5,neither,0,16,pupated,
5,22.5,neither,0,16,pupated,
6,20.1,neither,0,16,pupated,
7,23.9,neither,0,16,pupated,
8,19.1,high,0,16,pupated,
9,27.4,neither,0,16,pupated,
10,21,neither,0,16,,
11,20.8,neither,0,16,pupated,
12,23.4,neither,0,16,pupated,
13,21.6,neither,0,16,pupated,
14,38.2,neither,0,16,,
15,22.1,high,0,16,pupated,
16,20,high,0,16,pupated,
1,,,0,18,pupated,
2,,,0,18,pupated,
3,,,0,18,pupated,
4,,,0,18,pupated,
5,,,0,18,pupated,
6,,,0,18,pupated,
7,,,0,18,pupated,
8,,,0,18,pupated,
9,,,0,18,pupated,
10,,,0,18,pupated,
11,,,0,18,pupated,
12,,,0,18,pupated,
13,,,0,18,pupated,
14,25.4,neither,0,18,,
15,,,0,18,pupated,
16,,,0,18,pupated,
1,,,0,21,pupated,
2,,,0,21,pupated,
3,,,0,21,pupated,
4,,,0,21,pupated,
5,,,0,21,pupated,
6,,,0,21,pupated,
7,,,0,21,pupated,
8,,,0,21,pupated,
9,,,0,21,pupated,
10,,,0,21,pupated,
11,,,0,21,pupated,
12,,,0,21,pupated,
13,,,0,21,pupated,
14,,,0,21,pupated,
15,,,0,21,pupated,
16,,,0,21,pupated,
