SubjectID,Trial,Length,Mass,Day,Dead,Notes,
N1,No,5,,5,0,6.16.23,
N2,No,9.4,,5,0,,
N3,No,8.2,,5,0,,
N4,No,5.9,,5,0,,
N5,No,6.2,,5,0,,
N6,No,8.5,,5,0,,
N7,No,5.1,,5,0,,
N8,No,3.1,,5,0,,
N9,No,4.6,,5,0,,
N10,No,5.8,,5,0,,
N11,No,5.5,,5,0,,
N12,No,3.6,,5,0,,
N13,No,4.7,,5,0,,
N14,No,3.4,,5,0,,
N15,No,5.5,,5,0,,
L1,Low,1.8,,5,1,,
L2,Low,7.1,,5,0,,
L3,Low,4.4,,5,0,,
L4,Low,6,,5,0,,
L5,Low,7.8,,5,0,,
L6,Low,3.7,,5,0,,
L7,Low,5.3,,5,0,,
L8,Low,3,,5,0,,
L9,Low,7,,5,0,,
L10,Low,3.3,,5,0,,
L11,Low,5.3,,5,0,,
L12,Low,7.5,,5,0,,
L13,Low,3.1,,5,1,,
L14,Low,3.7,,5,1,,
L15,Low,5.2,,5,1,,
H1,High,6.1,,5,0,,
H2,High,3.2,,5,1,,
H3,High,7.1,,5,0,,
H4,High,5.9,,5,0,,
H5,High,8.5,,5,0,,
H6,High,6.4,,5,0,,
H7,High,7.9,,5,0,,
H8,High,5.4,,5,0,,
H9,High,6.5,,5,0,,
H10,High,10.4,,5,0,,
H11,High,9.2,,5,0,,
H12,High,6.1,,5,0,,
H13,High,9.2,,5,0,,
H14,High,6.2,,5,0,,
H15,High,3.9,,5,0,,
N1,No,6,,7,0,6.18.23,
N2,No,15.9,,7,0,,
N3,No,14.2,,7,0,,
N4,No,10.2,,7,0,,
N5,No,11.9,,7,0,,
N6,No,15.2,,7,0,,
N7,No,10.1,,7,0,,
N8,No,5.1,,7,0,,
N9,No,7.1,,7,0,,
N10,No,10.8,,7,0,,
N11,No,10.2,,7,0,,
N12,No,4.8,,7,0,,
N13,No,8.4,,7,0,,
N14,No,6.3,,7,0,,
N15,No,,,7,1,,
L1,Low,,,7,1,,
L2,Low,10.2,,7,0,,
L3,Low,8,,7,0,,
L4,Low,11.9,,7,0,,
L5,Low,15.2,,7,0,,
L6,Low,6,,7,0,,
L7,Low,10.8,,7,0,,
L8,Low,5.6,,7,0,,
L9,Low,9.7,,7,0,,
L10,Low,5.4,,7,0,,
L11,Low,8.5,,7,0,,
L12,Low,13,,7,0,,
L13,Low,,,7,1,,
L14,Low,,,7,1,,
L15,Low,,,7,1,,
H1,High,10.6,,7,0,,
H2,High,,,7,1,,
H3,High,10.9,,7,0,,
H4,High,10,,7,0,,
H5,High,14.1,,7,0,,
H6,High,11.8,,7,0,,
H7,High,14.4,,7,0,,
H8,High,10.3,,7,0,,
H9,High,9.1,,7,0,,
H10,High,20.2,,7,0,,
H11,High,16.3,,7,0,,
H12,High,12.2,,7,0,,
H13,High,15.3,,7,0,,
H14,High,11.4,,7,0,,
H15,High,10.3,,7,0,,
N1,No,6.9,9.8,9,0,6.20.23,
N2,No,22.7,118,9,0,,
N3,No,15,50,9,0,,
N4,No,16.6,51,9,0,,
N5,No,15.9,54,9,0,,
N6,No,23.6,157,9,0,,
N7,No,12.7,32,9,0,,
N8,No,5.3,2,9,0,,
N9,No,9.2,9.4,9,0,,
N10,No,18.1,87,9,0,,
N11,No,15.8,43,9,0,,
N12,No,6.8,5.6,9,0,,
N13,No,10.5,15.2,9,0,,
N14,No,8.7,5.3,9,0,,
N15,No,,,9,1,,
L1,Low,,,9,1,,
L2,Low,16.4,67,9,0,,
L3,Low,11.7,29.4,9,0,,
L4,Low,16.5,51,9,0,,
L5,Low,19,91,9,0,,
L6,Low,7.7,6.1,9,0,,
L7,Low,12.5,42,9,0,,
L8,Low,9.5,6.5,9,0,,
L9,Low,16.1,70.8,9,0,,
L10,Low,5.5,5.6,9,0,,
L11,Low,14,29.5,9,0,,
L12,Low,22.8,165,9,0,,
L13,Low,,,9,1,,
L14,Low,,,9,1,,
L15,Low,,,9,1,,
H1,High,19.1,95,9,0,,
H2,High,,,9,1,,
H3,High,20.8,92,9,0,,
H4,High,13.8,42.5,9,0,,
H5,High,23.8,171,9,0,,
H6,High,20.4,100,9,0,,
