treatment,plot.no,sample.id,total.bac
innoculation,102,102-1,0
innoculation,102,102-1,0
innoculation,102,102-1,0
innoculation,102,102-1,0
innoculation,102,102-1,0
innoculation,102,102-1,0
innoculation,102,102-1,0
innoculation,102,102-1,0
innoculation,102,102-1,0
innoculation,102,102-1,0
innoculation,102,102-1,0
innoculation,102,102-1,0
innoculation,102,102-1,0
innoculation,102,102-1,0
innoculation,102,102-1,1
innoculation,102,102-1,0
innoculation,102,102-2,0
innoculation,102,102-2,0
innoculation,102,102-2,0
innoculation,102,102-2,0
innoculation,102,102-2,0
innoculation,102,102-2,1
innoculation,102,102-2,0
innoculation,102,102-2,0
innoculation,102,102-2,0
innoculation,102,102-2,0
innoculation,102,102-2,0
innoculation,102,102-2,0
innoculation,102,102-2,0
innoculation,102,102-2,0
innoculation,102,102-2,0
innoculation,102,102-2,0
innoculation,102,102-3,0
innoculation,102,102-3,0
innoculation,102,102-3,0
innoculation,102,102-3,0
innoculation,102,102-3,1
innoculation,102,102-3,1
innoculation,102,102-3,0
innoculation,102,102-3,0
innoculation,102,102-3,0
innoculation,102,102-3,0
innoculation,102,102-3,0
innoculation,102,102-3,0
innoculation,102,102-3,0
innoculation,102,102-3,0
innoculation,102,102-3,1
innoculation,102,102-3,1
innoculation,102,102-3,0
innoculation,102,102-4,0
innoculation,102,102-4,0
innoculation,102,102-4,0
innoculation,102,102-4,1
innoculation,102,102-4,0
innoculation,102,102-4,0
innoculation,102,102-4,0
innoculation,102,102-4,0
innoculation,102,102-4,0
innoculation,102,102-4,0
innoculation,102,102-4,0
innoculation,102,102-4,0
innoculation,102,102-4,0
innoculation,102,102-4,0
innoculation,102,102-4,0
innoculation,102,102-4,0
innoculation,102,102-5,0
innoculation,102,102-5,0
innoculation,102,102-5,0
innoculation,102,102-5,0
innoculation,102,102-5,0
innoculation,102,102-5,0
innoculation,102,102-5,0
innoculation,102,102-5,0
innoculation,102,102-5,0
innoculation,102,102-5,0
innoculation,102,102-5,0
innoculation,102,102-5,0
innoculation,102,102-5,0
innoculation,102,102-5,0
innoculation,102,102-5,1
innoculation,102,102-5,0
innoculation,102,102-6,0
innoculation,102,102-6,0
innoculation,102,102-6,0
innoculation,102,102-6,1
innoculation,102,102-6,0
innoculation,102,102-6,0
innoculation,102,102-6,0
innoculation,102,102-6,0
innoculation,102,102-6,0
innoculation,102,102-6,1
innoculation,102,102-6,0
innoculation,102,102-6,0
innoculation,102,102-6,0
innoculation,102,102-6,1
innoculation,102,102-6,0
innoculation,102,102-6,0
innoculation,102,102-7,0
innoculation,102,102-7,0
innoculation,102,102-7,0
innoculation,102,102-7,0
innoculation,102,102-7,0
innoculation,102,102-7,0
innoculation,102,102-7,0
innoculation,102,102-7,0
innoculation,102,102-7,0
innoculation,102,102-7,0
innoculation,102,102-7,0
innoculation,102,102-7,0
innoculation,102,102-7,0
innoculation,102,102-7,0
innoculation,102,102-7,0
innoculation,102,102-7,0
fungicide,106,106-1,0
fungicide,106,106-1,0
fungicide,106,106-1,0
fungicide,106,106-1,0
fungicide,106,106-1,1
fungicide,106,106-1,1
fungicide,106,106-1,0
fungicide,106,106-1,0
fungicide,106,106-1,0
fungicide,106,106-1,0
fungicide,106,106-1,1
fungicide,106,106-1,1
fungicide,106,106-1,0
fungicide,106,106-1,1
fungicide,106,106-1,0
fungicide,106,106-1,1
fungicide,106,106-2,0
fungicide,106,106-2,0
fungicide,106,106-2,1
fungicide,106,106-2,0
fungicide,106,106-2,0
fungicide,106,106-2,1
fungicide,106,106-2,0
fungicide,106,106-2,0
fungicide,106,106-2,0
fungicide,106,106-2,0
fungicide,106,106-2,0
fungicide,106,106-2,0
fungicide,106,106-2,0
fungicide,106,106-2,1
fungicide,106,106-2,0
fungicide,106,106-2,1
fungicide,106,106-3,0
fungicide,106,106-3,0
fungicide,106,106-3,1
fungicide,106,106-3,0
fungicide,106,106-3,0
fungicide,106,106-3,0
fungicide,106,106-3,0
fungicide,106,106-3,0
fungicide,106,106-3,0
fungicide,106,106-3,0
fungicide,106,106-3,0
fungicide,106,106-3,1
fungicide,106,106-3,0
fungicide,106,106-3,1
fungicide,106,106-3,0
fungicide,106,106-3,0
fungicide,106,106-4,0
fungicide,106,106-4,0
fungicide,106,106-4,0
fungicide,106,106-4,1
fungicide,106,106-4,1
fungicide,106,106-4,0
fungicide,106,106-4,1
fungicide,106,106-4,0
fungicide,106,106-4,1
fungicide,106,106-4,0
fungicide,106,106-4,1
fungicide,106,106-4,1
fungicide,106,106-4,0
fungicide,106,106-4,1
fungicide,106,106-4,0
fungicide,106,106-4,1
fungicide,106,106-5,0
fungicide,106,106-5,0
fungicide,106,106-5,0
fungicide,106,106-5,1
fungicide,106,106-5,1
fungicide,106,106-5,1
fungicide,106,106-5,1
fungicide,106,106-5,1
fungicide,106,106-5,1
fungicide,106,106-5,1
fungicide,106,106-5,1
fungicide,106,106-5,2
fungicide,106,106-5,0
fungicide,106,106-5,1
fungicide,106,106-5,0
fungicide,106,106-5,0
fungicide,106,106-6,0
fungicide,106,106-6,0
fungicide,106,106-6,1
fungicide,106,106-6,0
fungicide,106,106-6,1
fungicide,106,106-6,1
fungicide,106,106-6,1
fungicide,106,106-6,0
fungicide,106,106-6,1
fungicide,106,106-6,0
fungicide,106,106-6,0
fungicide,106,106-6,0
fungicide,106,106-6,0
fungicide,106,106-6,0
fungicide,106,106-6,0
fungicide,106,106-6,0
fungicide,106,106-7,1
fungicide,106,106-7,0
fungicide,106,106-7,0
fungicide,106,106-7,1
fungicide,106,106-7,1
fungicide,106,106-7,1
fungicide,106,106-7,0
fungicide,106,106-7,0
fungicide,106,106-7,0
fungicide,106,106-7,0
fungicide,106,106-7,0
fungicide,106,106-7,1
fungicide,106,106-7,0
fungicide,106,106-7,0
fungicide,106,106-7,0
fungicide,106,106-7,0
natural,109,109-1,0
natural,109,109-1,0
natural,109,109-1,0
natural,109,109-1,0
natural,109,109-1,0
natural,109,109-1,0
natural,109,109-1,0
natural,109,109-1,0
natural,109,109-1,0
natural,109,109-1,0
