sample.id,plot.no,treatment,plant.height.cm,mass.g,avg.area.cm2,final.pathogen
102-1,102,innoculation,99,0.4521,68.406,1
102-2,102,innoculation,95,0.4188,70.957,0
102-3,102,innoculation,94,0.4817,78.15166667,1
102-4,102,innoculation,87,0.4393,75.548,1
102-5,102,innoculation,101,0.3806,62.92433333,1
102-6,102,innoculation,90,0.3408,61.57066667,0
102-7,102,innoculation,103,0.5743,80.87533333,0
106-1,106,fungicide,79,0.4545,68.039,0
106-2,106,fungicide,107,0.3301,54.41833333,0
106-3,106,fungicide,82,0.3607,51.75433333,0
106-4,106,fungicide,100,0.4408,72.758,0
106-5,106,fungicide,67,0.1954,35.16133333,0
106-6,106,fungicide,96,0.461,70.394,1
106-7,106,fungicide,81,0.2789,46.11433333,0
109-1,109,natural,83,0.2474,49.954,1
109-2,109,natural,58,0.2332,36.744,0
109-3,109,natural,68,0.2196,39.848,1
109-4,109,natural,112,0.3488,63.47833333,1
109-5,109,natural,77,0.3543,58.58,1
109-6,109,natural,112,0.2235,44.57266667,0
109-7,109,natural,82,0.3624,56.545,0
203-1,203,fungicide,57,0.2089,33.403,0
203-2,203,fungicide,101,0.3879,65.614,0
203-3,203,fungicide,89,0.4001,65.82666667,0
203-4,203,fungicide,102,0.3538,62.251,0
203-5,203,fungicide,85,0.3891,60.04433333,0
203-6,203,fungicide,103,0.3621,64.303,0
203-7,203,fungicide,56,0.212,34.291,0
207-1,207,natural,73,0.2365,37.58,1
207-2,207,natural,106,0.363,67.84766667,0
207-3,207,natural,96,0.444,82.80066667,0
207-4,207,natural,109,0.287,60.18366667,1
207-5,207,natural,113,0.351,63.5,1
207-6,207,natural,114,0.5545,88.75266667,1
207-7,207,natural,96,0.5051,78.12066667,1
210-1,210,innoculation,119,0.3157,57.98266667,1
210-2,210,innoculation,78,0.1546,24.38666667,0
210-3,210,innoculation,93,0.4905,79.19133333,1
210-4,210,innoculation,55,0.0848,15.014,0
210-5,210,innoculation,72,0.236,42.296,1
210-6,210,innoculation,57,0.2501,40.04066667,1
210-7,210,innoculation,102,0.3583,62.20333333,1
303-1,303,fungicide,70,0.3495,58.35766667,0
303-2,303,fungicide,82,0.276,42.95533333,0
303-3,303,fungicide,94,0.219,43.238,0
303-4,303,fungicide,84,0.3787,62.94233333,0
303-5,303,fungicide,59,0.1186,21.76933333,0
303-6,303,fungicide,91,0.3086,52.75466667,0
303-7,303,fungicide,101,0.32,63.86233333,0
308-1,308,natural,115,0.3895,71.86533333,1
308-2,308,natural,106,0.4081,70.30266667,1
308-3,308,natural,96,0.3135,54.21133333,0
308-4,308,natural,108,0.3658,70.39433333,1
308-5,308,natural,62,0.1642,27.36733333,0
308-6,308,natural,120,0.2033,36.85466667,1
308-7,308,natural,78,0.286,44.257,1
310-1,310,innoculation,75,0.3054,45.92133333,1
310-2,310,innoculation,129,0.4011,69.33933333,1
310-3,310,innoculation,86,0.1894,34.27633333,0
310-4,310,innoculation,122,0.2421,51.72666667,0
310-5,310,innoculation,106,0.2419,40.37366667,1
310-6,310,innoculation,125,0.2463,46.876,0
310-7,310,innoculation,115,0.3337,57.97433333,1
401-1,401,natural,81,0.258,40.12166667,1
401-2,401,natural,92,0.3265,53.828,1
401-3,401,natural,67,0.2372,40.89733333,1
401-4,401,natural,114,0.3159,53.31733333,1
401-5,401,natural,100,0.2788,52.69566667,0
401-6,401,natural,120,0.3375,57.28166667,1
401-7,401,natural,105,0.2955,49.39833333,1
408-1,408,fungicide,125,0.2146,44.43066667,0
408-2,408,fungicide,122,0.2507,48.111,0
408-3,408,fungicide,130,0.4343,77.632,1
408-4,408,fungicide,121,0.3246,58.243,0
408-5,408,fungicide,71,0.2259,35.41733333,0
408-6,408,fungicide,97,0.348,57.46,0
408-7,408,fungicide,127,0.483,79.51533333,0
409-1,409,innoculation,90,0.186,27.99666667,1
409-2,409,innoculation,129,0.3287,56.60766667,1
409-3,409,innoculation,64,0.1623,24.959,0
409-4,409,innoculation,103,0.3831,70.29833333,0
409-5,409,innoculation,114,0.2285,41.52466667,0
409-6,409,innoculation,87,0.3258,53.50866667,1
409-7,409,innoculation,63,0.1986,30.742,1
