plot.no,sample.id,treatment,plant.height.cm,mass.g,mass.kg,area1.cm2,area2.cm2,area3.cm2,avg.area.cm2,area1.m2,area2.m2,area3.m2,SLA.m2.kg-1,LMA.g.m2,pathogen.infection1,pathogen.infection2,pathogen.infection3,pathogen.sum,final.pathogen
102,102-1,innoculation,99,0.4521,0.0004521,71.418,69.818,63.982,68.406,0.71418,0.69818,0.63982,1513.072329,0.660906938,1,1,1,3,1
102,102-2,innoculation,95,0.4188,0.0004188,73.858,72.539,66.474,70.957,0.73858,0.72539,0.66474,1694.293219,0.59021661,1,1,0,2,0
102,102-3,innoculation,94,0.4817,0.0004817,81.566,79.779,73.11,78.15166667,0.81566,0.79779,0.7311,1622.413674,0.616365614,1,1,1,3,1
102,102-4,innoculation,87,0.4393,0.0004393,78.876,77.109,70.659,75.548,0.78876,0.77109,0.70659,1719.735944,0.581484619,1,1,1,3,1
102,102-5,innoculation,101,0.3806,0.0003806,65.567,64.29,58.916,62.92433333,0.65567,0.6429,0.58916,1653.293046,0.604853448,1,1,1,3,1
102,102-6,innoculation,90,0.3408,0.0003408,63.243,63.384,58.085,61.57066667,0.63243,0.63384,0.58085,1806.651017,0.55351033,0,1,0,1,0
102,102-7,innoculation,103,0.5743,0.0005743,84.885,82.311,75.43,80.87533333,0.84885,0.82311,0.7543,1408.241918,0.710105265,0,1,1,2,0
203,203-1,fungicide,57,0.2089,0.0002089,33.446,33.75,33.013,33.403,0.33446,0.3375,0.33013,1598.994734,0.625392929,0,1,0,1,0
203,203-2,fungicide,101,0.3879,0.0003879,65.907,66.203,64.732,65.614,0.65907,0.66203,0.64732,1691.518433,0.591184808,0,1,0,1,0
203,203-3,fungicide,89,0.4001,0.0004001,66.062,66.447,64.971,65.82666667,0.66062,0.66447,0.64971,1645.255353,0.607808386,0,1,0,1,0
203,203-4,fungicide,102,0.3538,0.0003538,62.637,62.755,61.361,62.251,0.62637,0.62755,0.61361,1759.496891,0.568344284,0,1,0,1,0
